,age,job,marital,education,smoker,monthlyincome,houseowner,loan,contact,mod_,monthlyhouseholdincome,target_buy
0,30,unemployed,married,primary,no,6787.0,no,no,cellphone,79.0,6915.0,no
1,33,services,married,secondary,no,9789.0,yes,yes,cellphone,220.0,10049.0,no
2,35,services,single,Graduate,no,6350.0,yes,no,cellphone,185.0,6587.0,no
3,30,management,married,Graduate,no,0.0,yes,yes,unknown,199.0,6799.0,no
4,59,blue-collar,married,secondary,no,5000.0,yes,no,unknown,226.0,5193.0,no
5,35,management,single,Graduate,no,0.0,no,no,cellphone,141.0,5878.0,no
6,36,self-employed,married,Graduate,no,5307.0,yes,no,cellphone,341.0,5326.0,no
7,39,technician,married,secondary,no,5147.0,yes,no,cellphone,151.0,6002.0,no
8,41,entrepreneur,married,Graduate,no,5221.0,yes,no,unknown,57.0,5380.0,no
9,43,services,married,primary,no,4912.0,yes,yes,cellphone,313.0,5828.0,no
10,39,services,married,secondary,no,14374.0,yes,no,unknown,273.0,14834.0,no
11,43,admin.,married,secondary,no,5264.0,yes,no,cellphone,113.0,5656.0,no
12,36,technician,married,Graduate,no,6109.0,no,no,cellphone,328.0,6520.0,no
13,20,student,single,secondary,no,5502.0,no,no,cellphone,261.0,5850.0,yes
14,31,blue-collar,married,secondary,no,5360.0,yes,yes,cellphone,89.0,6274.0,no
15,40,management,married,Graduate,no,5194.0,no,yes,cellphone,189.0,5844.0,no
16,56,technician,married,secondary,no,9073.0,no,no,cellphone,239.0,9395.0,no
17,37,admin.,single,Graduate,no,7317.0,yes,no,cellphone,114.0,7789.0,no
18,25,blue-collar,single,primary,no,4779.0,yes,no,unknown,250.0,5187.0,no
19,31,services,married,secondary,no,5132.0,no,no,cellphone,148.0,5465.0,no
20,38,management,divorced,unknown,no,5000.0,yes,no,cellphone,96.0,5286.0,no
21,42,management,divorced,Graduate,no,5016.0,no,no,cellphone,140.0,5533.0,no
22,44,services,single,secondary,no,5106.0,no,no,unknown,109.0,5608.0,no
23,44,entrepreneur,married,secondary,no,5093.0,no,no,cellphone,125.0,5495.0,no
24,26,housemaid,married,Graduate,no,5543.0,no,no,cellphone,169.0,5913.0,no
25,41,management,married,Graduate,no,10883.0,no,no,cellphone,182.0,11554.0,no
26,55,blue-collar,married,primary,no,5627.0,yes,no,unknown,247.0,5930.0,no
27,67,retired,married,unknown,no,5696.0,no,no,telephone,119.0,6484.0,no
28,56,self-employed,married,secondary,no,5784.0,no,yes,cellphone,149.0,6708.0,no
29,53,admin.,married,secondary,no,5105.0,no,yes,cellphone,74.0,5163.0,no
30,68,retired,divorced,secondary,no,9189.0,no,no,telephone,897.0,9314.0,yes
31,31,technician,married,secondary,no,5171.0,no,no,cellphone,81.0,5379.0,no
32,59,management,married,secondary,no,5042.0,no,no,cellphone,40.0,5504.0,no
33,32,management,single,Graduate,no,7536.0,yes,no,cellphone,958.0,7767.0,yes
34,49,technician,married,Graduate,no,6235.0,no,no,cellphone,354.0,7228.0,yes
35,42,admin.,divorced,secondary,no,6811.0,yes,no,unknown,150.0,6975.0,no
36,78,retired,divorced,primary,no,5229.0,no,no,telephone,97.0,6162.0,yes
37,32,blue-collar,married,secondary,no,7089.0,yes,no,cellphone,132.0,7210.0,yes
38,33,management,married,secondary,no,8935.0,yes,no,cellphone,765.0,9749.0,yes
39,23,services,single,Graduate,no,-1.0,yes,no,unknown,16.0,513.0,no
40,38,management,single,Graduate,no,16971.0,yes,no,unknown,609.0,17463.0,no
41,36,management,single,Graduate,no,5553.0,no,no,cellphone,106.0,6526.0,no
42,52,blue-collar,married,secondary,no,6117.0,yes,no,cellphone,365.0,6479.0,no
43,32,technician,married,Graduate,no,5396.0,yes,no,cellphone,205.0,6066.0,no
44,32,technician,single,Graduate,no,7204.0,yes,no,cellphone,11.0,7300.0,no
45,34,management,single,Graduate,no,5872.0,yes,no,unknown,105.0,6026.0,no
46,55,blue-collar,married,primary,no,5145.0,no,no,telephone,59.0,5462.0,no
47,26,blue-collar,married,primary,no,5000.0,yes,no,unknown,425.0,5049.0,no
48,32,entrepreneur,single,primary,yes,4151.0,yes,yes,cellphone,204.0,4536.0,no
49,61,admin.,married,unknown,no,9629.0,yes,no,cellphone,181.0,10064.0,yes
50,45,blue-collar,divorced,primary,no,5844.0,no,no,unknown,1018.0,5861.0,yes
51,37,technician,single,secondary,no,5228.0,yes,no,cellphone,1740.0,6068.0,no
52,38,technician,single,secondary,no,5050.0,no,no,cellphone,98.0,5443.0,no
53,34,technician,married,Graduate,no,6539.0,yes,no,cellphone,441.0,6679.0,yes
54,53,blue-collar,married,secondary,no,7231.0,yes,no,cellphone,272.0,7530.0,no
55,48,admin.,married,secondary,no,8064.0,yes,no,telephone,159.0,8667.0,no
56,57,management,married,secondary,no,5082.0,no,yes,telephone,140.0,6040.0,no
57,33,self-employed,single,Graduate,no,7155.0,no,no,cellphone,295.0,8073.0,no
58,36,retired,single,secondary,no,5101.0,yes,yes,unknown,314.0,5774.0,no
59,54,technician,divorced,secondary,no,5784.0,yes,yes,unknown,579.0,6718.0,no
60,41,blue-collar,married,primary,no,4484.0,no,yes,telephone,554.0,4623.0,no
61,63,retired,married,secondary,no,5415.0,yes,no,cellphone,323.0,5867.0,no
62,48,management,married,Graduate,no,10887.0,no,no,cellphone,227.0,11505.0,no
63,48,services,married,secondary,no,6355.0,no,no,cellphone,134.0,7268.0,no
64,56,admin.,married,secondary,no,21873.0,no,no,cellphone,223.0,22688.0,no
65,51,blue-collar,divorced,secondary,no,5203.0,yes,no,cellphone,134.0,5878.0,no
66,31,services,married,secondary,no,5338.0,yes,no,cellphone,155.0,5666.0,no
67,29,technician,married,secondary,no,5444.0,yes,no,cellphone,130.0,5740.0,no
68,41,management,married,secondary,no,5000.0,no,yes,cellphone,630.0,5950.0,no
69,32,technician,single,Graduate,no,5360.0,no,no,cellphone,164.0,6209.0,no
70,37,management,married,Graduate,no,5000.0,no,no,cellphone,268.0,5376.0,yes
71,42,entrepreneur,divorced,Graduate,yes,5002.0,yes,no,unknown,380.0,5553.0,no
72,31,management,single,Graduate,no,11248.0,yes,no,unknown,154.0,11960.0,no
73,41,services,married,Graduate,no,5412.0,yes,no,unknown,154.0,5720.0,no
74,56,retired,married,secondary,no,5344.0,yes,no,unknown,221.0,6039.0,no
75,54,management,divorced,Graduate,no,8222.0,no,no,cellphone,67.0,9136.0,no
76,41,blue-collar,divorced,secondary,no,5174.0,yes,no,cellphone,367.0,5604.0,no
77,40,technician,single,secondary,no,5591.0,no,yes,cellphone,87.0,5974.0,no
78,50,blue-collar,divorced,primary,no,5388.0,no,no,cellphone,701.0,5719.0,no
79,40,unemployed,married,secondary,no,5219.0,yes,no,cellphone,204.0,5991.0,no
80,27,admin.,divorced,secondary,no,5451.0,yes,no,cellphone,652.0,6093.0,yes
81,60,retired,married,primary,no,5005.0,no,no,cellphone,63.0,5856.0,no
82,28,admin.,single,secondary,no,5177.0,yes,yes,cellphone,150.0,6173.0,no
83,52,services,married,secondary,no,5657.0,no,no,telephone,398.0,6361.0,yes
84,37,management,married,Graduate,no,6315.0,no,no,cellphone,224.0,7080.0,yes
85,51,blue-collar,married,primary,no,6466.0,yes,no,unknown,406.0,7457.0,no
86,41,technician,single,secondary,no,5879.0,no,yes,cellphone,60.0,6349.0,no
87,35,blue-collar,single,primary,no,5293.0,yes,no,unknown,521.0,6023.0,no
88,38,admin.,married,secondary,no,5424.0,yes,no,cellphone,279.0,5860.0,no
89,34,blue-collar,married,secondary,no,6831.0,yes,no,unknown,203.0,7019.0,no
90,39,blue-collar,married,primary,no,5111.0,no,no,cellphone,201.0,5744.0,no
91,34,blue-collar,married,primary,no,5455.0,yes,no,unknown,372.0,6035.0,no
92,27,services,single,secondary,no,4805.0,yes,no,cellphone,391.0,5274.0,yes
93,32,management,single,Graduate,no,8616.0,no,no,cellphone,165.0,9227.0,no
94,57,blue-collar,married,secondary,no,19093.0,no,no,cellphone,231.0,19383.0,no
95,41,unknown,single,Graduate,no,6567.0,no,no,cellphone,291.0,6811.0,no
96,41,admin.,married,Graduate,no,10426.0,yes,no,unknown,149.0,11169.0,no
97,30,admin.,single,Graduate,no,5261.0,no,no,cellphone,233.0,5930.0,no
98,36,blue-collar,divorced,secondary,no,7843.0,no,no,cellphone,473.0,8591.0,no
99,31,unemployed,single,primary,no,5406.0,no,no,cellphone,736.0,5569.0,yes
100,36,blue-collar,married,secondary,no,5000.0,yes,no,unknown,337.0,5663.0,no
101,38,management,single,Graduate,no,5493.0,yes,no,cellphone,553.0,5571.0,no
102,49,technician,married,secondary,no,10996.0,no,no,telephone,345.0,11025.0,no
103,57,services,single,primary,no,8777.0,yes,no,telephone,65.0,9440.0,no
104,34,management,single,secondary,no,5524.0,no,no,unknown,9.0,6486.0,no
105,32,management,single,Graduate,no,5574.0,yes,no,cellphone,259.0,5663.0,no
106,37,blue-collar,married,secondary,no,5427.0,yes,yes,unknown,371.0,6382.0,no
107,33,self-employed,married,Graduate,no,5483.0,yes,no,cellphone,280.0,5924.0,no
108,56,unemployed,married,primary,no,8391.0,no,no,cellphone,243.0,9128.0,yes
109,27,housemaid,married,primary,no,5000.0,yes,no,cellphone,435.0,5415.0,no
110,21,student,single,secondary,no,7488.0,no,no,cellphone,258.0,7889.0,yes
111,58,management,married,Graduate,no,6517.0,yes,no,telephone,7.0,7285.0,no
112,32,self-employed,married,secondary,no,5217.0,yes,yes,cellphone,317.0,5296.0,no
113,33,blue-collar,single,secondary,no,5022.0,no,no,cellphone,76.0,5793.0,no
114,25,student,single,secondary,no,5331.0,no,no,telephone,170.0,6108.0,yes
115,25,technician,single,secondary,no,5505.0,no,yes,cellphone,386.0,6051.0,yes
116,30,services,married,secondary,no,6808.0,yes,no,cellphone,83.0,7327.0,no
117,22,admin.,single,secondary,no,9111.0,no,yes,cellphone,65.0,9112.0,no
118,39,blue-collar,married,primary,no,5052.0,no,no,cellphone,69.0,5105.0,no
119,46,management,divorced,Graduate,no,5025.0,no,no,unknown,564.0,5977.0,no
120,31,admin.,divorced,secondary,no,6890.0,yes,no,cellphone,588.0,7502.0,no
121,45,blue-collar,married,primary,no,5419.0,no,no,cellphone,113.0,6227.0,no
122,32,technician,married,secondary,no,7693.0,yes,no,unknown,16.0,8645.0,no
123,36,blue-collar,married,secondary,no,4769.0,no,yes,cellphone,779.0,4912.0,no
124,51,management,single,Graduate,yes,4945.0,yes,no,cellphone,281.0,5041.0,no
