,Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
0,Port Blair,Andaman and Nicobar Islands,Port Blair,—,Kolkata,1955,Calcutta (1945–1955)
1,Hyderabad (de jure to 2024)Amaravati (de facto from 2017)[3] [4] [a],Andhra Pradesh,Hyderabad (de jure to 2024)Amaravati (de facto from 2017)[3] [4] [a],Amaravati [3],Amaravati,19562017,Kurnool (1953-1956)
2,Itanagar,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1986,—
3,Dispur,Assam,Dispur,Guwahati,Guwahati,1975,Shillong[b] (1874–1952)
4,Patna,Bihar,Patna,Patna,Patna,1912,—
5,Chandigarh[c],Chandigarh,Chandigarh[c],—,Chandigarh,1966,—
6,Atal Nagar[d],Chhattisgarh,Atal Nagar[d],Raipur,Bilaspur,2000,—
7,Silvassa,Dadra and Nagar Haveli,Silvassa,—,Mumbai,1945,Mumbai (1954–1961)  Panaji (1961–1987)
8,Daman,Daman and Diu,Daman,—,Mumbai,1987,Ahmedabad (1961–1963) Panaji (1963–1987)
9,New Delhi,National Capital Territory of Delhi,New Delhi,New Delhi,New Delhi,1931,—
10,Panaji[e],Goa,Panaji[e],Porvorim,Mumbai,1961,Panaji (1961–1987)
11,Gandhinagar,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
12,Chandigarh,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
13,"Shimla
Dharamshala (W/2nd)[8]",Himachal Pradesh,"Shimla
Dharamshala (W/2nd)[8]","Shimla (Summer)
Dharamsala(Winter)",Shimla,"1971
2017",Bilaspur (1950–1956)
14,Srinagar (Summer)Jammu (Winter),Jammu and Kashmir,Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),1947,—
15,Ranchi,Jharkhand,Ranchi,Ranchi,Ranchi,2000,—
16,Bengaluru,Karnataka,Bengaluru,Bengaluru,Bengaluru,1940,(Mysore)
17,Thiruvananthapuram,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,—
18,Kavaratti,Lakshadweep,Kavaratti,—,Kochi,1956,—
19,Bhopal,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,Nagpur[f] (1861–1956)
20,Mumbai[g],Maharashtra,Mumbai[g],Mumbai (Summer),Mumbai,1818,—
21,Imphal,Manipur,Imphal,Imphal,Imphal,1947,—
22,Shillong,Meghalaya,Shillong,Shillong,Shillong,1970,—
23,Aizawl,Mizoram,Aizawl,Aizawl,Guwahati,1972,—
24,Kohima,Nagaland,Kohima,Kohima,Guwahati,1963,—
25,Bhubaneswar,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1948,Cuttack (1936–1948)
26,Puducherry,Puducherry,Puducherry,Puducherry,Chennai,1954,Madras (1948–1954)
27,Chandigarh,Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—
28,Jaipur,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
29,Gangtok[h],Sikkim,Gangtok[h],Gangtok,Gangtok,1890,—
30,Chennai[i],Tamil Nadu,Chennai[i],Chennai,Chennai,1956,—
31,Hyderabad[j],Telangana,Hyderabad[j],Hyderabad,Hyderabad,2014,—
32,Agartala,Tripura,Agartala,Agartala,Agartala,1956,—
33,Lucknow,Uttar Pradesh,Lucknow,Lucknow,Allahabad,1938,—
34,Dehradun[k],Uttarakhand,Dehradun[k],Dehradun,Nainital,2000,—
35,Kolkata,West Bengal,Kolkata,Kolkata,Kolkata,1947,—
